tech,workgroup,product_family,contract,title,script_name,sr_severity,sr_id,feature,theater,tech_dnac,subtech,company,_id,time,report_date
DNA___Software_Defined_Access,NULL,SDNMGMT,201795210,DN1-HW-APL//SDA Voice issue,sda_new_case_1,3,685904406,SDA,EMEA,,Appliance_sd_access,INFOSYS,5c2f12b1f9450600153a5b71,2019-01-04T08:00:49.534Z,2019-01-04
DNA___Software_Defined_Access,NULL,SDNMGMT,201548695,SDA Software failure,sda_new_case_1,3,685909494,SDA,AMER,,Appliance_sd_access,AMEREN_SERVICES_COMPANY,5c2fdc647996ea0015fcd961,2019-01-04T22:21:24.688Z,2019-01-04
DNA___Software_Defined_Access,NULL,SDNMGMT,201538561,HUOBI :DN1-HW-APL--SDA issue,sda_new_case_1,3,685912858,SDA,APAC,,Appliance_sd_access,BEIJING_HUOBI_TIANXIA_NETWORK_TECHNOLOGY_COLTD,5c32a06b26412e0022a4ea05,2019-01-07T00:42:19.393Z,2019-01-07
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA DNAC License issue,sda_new_case_1,3,685940388,SDA,EMEA,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5c37011038917b002b8d6e5a,2019-01-10T08:23:44.878Z,2019-01-10
DNA___Software_Defined_Access,NULL,NULL,NULL,Perspecta DNAC/SDA ISE CTS Issues,sda_new_case_1,3,685954559,SDA,AMER,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5c391cdec28fcd001ce01038,2019-01-11T22:46:54.627Z,2019-01-11
DNA___Software_Defined_Access,NULL,SDNMGMT,201716319,SDA Forwarding Issue - Building VRF,sda_new_case_1,3,685861198,SDA,EMEA,,Appliance_sd_access,XMA,5c1cb3421c6cc90019a5ec6d,2018-12-21T09:32:50.786Z,2018-12-21T00:00:00.000Z
DNA___Software_Defined_Access,NULL,C9300,201114951,SDA forwarding issue,sda_new_case_1,3,685030173,SDA,AMER,,Appliance_sd_access,GARMIN_INTERNATIONAL__INC.,5b73393d828f1000158a6d28,2018-08-14T20:19:09.209Z,2018-08-14
DNA___Software_Defined_Access,NULL,SDNMGMT,201543561,(N) DNAC/SDA Host Onboarding,sda_new_case_1,3,685138293,SDA,EMEA,,Appliance_sd_access,NEC_CORPORATION,5b88e25c14d47200154b5772,2018-08-31T06:38:20.486Z,2018-08-31
DNA___Software_Defined_Access,NULL,SDNMGMT,201543561,(N) DNAC/SDA SGの削除,sda_new_case_1,3,685255638,SDA,APAC,,Appliance_sd_access,NEC_CORPORATION,5ba1d394c4d9dc002427a5cd,2018-09-19T04:41:56.942Z,2018-09-19
DNA___Software_Defined_Access,NULL,SDNMGMT,201320715,call recording issue from SDA fabric,sda_new_case_1,3,685415726,SDA,EMEA,,Appliance_sd_access,TECH_MAHINDRA_LTD,5bc070f315d563001908494d,2018-10-12T10:01:23.447Z,2018-10-12
DNA___Software_Defined_Access,NULL,SDNMGMT,201526071,Need help deploying SDA version 1.2.5,sda_new_case_1,3,685464513,SDA,AMER,,Appliance_sd_access,The_Museum_of_Modern_Art__MoMA_,5bc9ff240dc9ec0020428abf,2018-10-19T15:58:28.531Z,2018-10-19
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA network down Celcom,sda_new_case_1,3,685481870,SDA,EMEA,,Appliance_sd_access,CELCOM_NETWORKS_SDN_BHD,5bcee1c24b8b200015633da8,2018-10-23T08:54:26.989Z,2018-10-23
DNA___Software_Defined_Access,NULL,N9500,95796064,Planned activity | AZ 1st SDA deployment | 12th Feb 2018,sda_new_case_1,,683934204,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,ASTRAZENECA_PHARMACEUTICALS_LP,5a7c40dd34fecb0019deb2ee,2018-02-08T12:21:49.575Z,
DNA___Software_Defined_Access,NULL,SDNMGMT,200917209,Cisco SDA Step by Step,sda_new_case_1,,684166024,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,PT_PACKET_SYSTEMS_INDONESIA,5aafbeafce9eb60018913c74,2018-03-19T13:44:15.508Z,
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA Lab Kit Demo Request,sda_new_case_1,3,684198979,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5ab5584f4544de0014c0260d,2018-03-23T19:41:03.760Z,2018-03-23
DNA___Software_Defined_Access,NULL,C3750X,200861800,question about SDA and SmartInstall,sda_new_case_1,3,684313708,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,MARICOPA_COUNTY,5ad0d136fb4462001fb26d1f,2018-04-13T15:48:06.242Z,2018-04-13
DNA___Software_Defined_Access,NULL,NULL,NULL,DNAC 1.1.4 - SDA - DHCP address assignment failing,sda_new_case_1,3,684347061,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5ad8b29fc76a8e001d8563be,2018-04-19T15:15:43.846Z,2018-04-19
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA: Border configuration assistance,sda_new_case_1,3,684491641,SDA,EMEA,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5afc137c8ae29c00189d6c3f,2018-05-16T11:18:20.675Z,2018-05-16
DNA___Software_Defined_Access,NULL,SDNMGMT,201575896,Standby Support Curtin Uni SDA Project,sda_new_case_1,3,685904140,SDA,EMEA,,Appliance_sd_access,CURTIN_UNIVERSITY_OF_TECHNOLOGY,5c2eff7c40b7b1001ae72578,2019-01-04T06:38:52.722Z,2019-01-04
DNA___Software_Defined_Access,NULL,SDNMGMT,201534645,SDA Underlay reachability,sda_new_case_1,3,685217911,SDA,AMER,,Appliance_sd_access,ILLUMINA,5b9988eade8eb8002298d2b9,2018-09-12T21:45:14.070Z,2018-09-12
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA CTS Issues,sda_new_case_1,3,685701363,SDA,AMER,,Appliance_sd_access,SIRIUS_COMPUTER_SOLUTIONS_INC,5bfd57637857f6002bd7239d,2018-11-27T14:40:35.511Z,2018-11-27
DNA___Software_Defined_Access,NULL,SDNMGMT,201356861,SDA & Fabric switch upgrade,sda_new_case_1,3,685645230,SDA,AMER,,Appliance_sd_access,DARPA,5beee30884c763001f3491fd,2018-11-16T15:32:24.496Z,2018-11-16
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA Automation problem,sda_new_case_1,3,686018761,SDA,EMEA,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5c4829bcecf663002d93f656,2019-01-23T08:45:48.771Z,2019-01-23
DNA___Software_Defined_Access,NULL,SDNMGMT,200443892,SDA Fabric ports are seeing Connection drops on PC's and Phones,sda_new_case_1,3,684293445,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,PIEDMONT_HEALTHCARE,5acd294c8363aa001cd75bbf,2018-04-10T21:14:52.494Z,2018-04-10
DNA___Software_Defined_Access,NULL,C9500,200627590,[SDA] - DNAC integrated ISE authentication failed - issue -SS,sda_new_case_1,3,684694307,SDA,APAC,DNA_Software_Defined_Access,Appliance_sd_access,Shanghai_General_Motors_Company_Limited,5b2c72ef29594800157037d9,2018-06-22T03:54:23.993Z,2018-06-22
DNA___Software_Defined_Access,NULL,SDNMGMT,201566845,[SDA] WHIRLPOOL :DN1-HW-APL--Installation issues -SS,sda_new_case_1,3,684755602,SDA,APAC,DNA_Software_Defined_Access,Appliance_sd_access,WHIRLPOOL_CHINA_COLTD,5b3aeafdf72ef3001736130e,2018-07-03T03:18:21.170Z,2018-07-03
DNA___Software_Defined_Access,NULL,NULL,NULL,3800 APs not joining WLC in SDA/Wireless using DNAC 1.2.1,sda_new_case_1,3,684780345,SDA,EMEA,DNA_Software_Defined_Access,Appliance_sd_access,CISCO_SYSTEMS,5b3f46c175146e001eebe805,2018-07-06T10:38:57.642Z,2018-07-06
DNA___Software_Defined_Access,NULL,C9500,200627590,DNAC SDA - does current 1.1.7 or 1.2.2 support 2 fabric under one DNAC,sda_new_case_1,3,684822065,SDA,APAC,DNA_Software_Defined_Access,Appliance_sd_access,Shanghai_General_Motors_Company_Limited,5b480da344ad6300131e72e5,2018-07-13T02:25:39.247Z,2018-07-13
DNA___Software_Defined_Access,NULL,C3850,95506097,Unable to have a call between 2 phones in 2 different SDA edge nodes,sda_new_case_1,1,685977546,SDA,AMER,,Appliance_sd_access,UNITED_NATIONS_OFFICE_GENEVA,5c3f33a6f92392002ac5d8e1,2019-01-16T13:37:42.672Z,2019-01-16
DNA___Software_Defined_Access,NULL,NULL,NULL,DHCP not working in SDA Fabric,sda_new_case_1,3,684824994,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5b48ab9a6851770021e5c56f,2018-07-13T13:39:38.891Z,2018-07-13
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA UAT Proactive TAC Case,sda_new_case_1,3,684621817,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5b1aaef2bcdde4001713f9ed,2018-06-08T16:29:38.897Z,2018-06-08
DNA___Software_Defined_Access,NULL,NULL,NULL,Demo Depot // SDA - DNA Center // upgrade issue from 1.22 to 1.23,sda_new_case_1,3,685196055,SDA,AMER,,Appliance_sd_access,NWN_CORPORATION,5b969457cf3ce7001b4b8fe4,2018-09-10T15:57:11.307Z,2018-09-10
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA/DNA Migration: Proactive Case Support,sda_new_case_1,3,685140673,SDA,AMER,,Appliance_sd_access,BT_ESPANA_SAU_RESALE,5b894f44c012910021139f35,2018-08-31T14:23:00.037Z,2018-08-31
DNA___Software_Defined_Access,NULL,C9300,200776282,Unable to configure SDA on 9500-9300,sda_new_case_1,3,685293587,SDA,EMEA,,Appliance_sd_access,NOVO_NORDISK_PHARMACEUTICALS_INDUSTRIES__LP,5baa07796980250024bfbe55,2018-09-25T10:01:29.098Z,2018-09-25
